Year,GDP_baseline,GDP,Temp,Emissions,Damages,SSP
2020,123959.23437599998,123482.63591167115,1.252958547527486,35.30569835165744,476.59846432884467,SSP1
2021,128449.50990122042,127911.09494010349,1.3074626103857694,36.33604190552224,538.4149611169001,SSP1
2022,132857.149548808,132250.75575460537,1.362811307875014,36.89913165949636,606.393794202634,SSP1
2023,137174.23531310976,136494.00612045196,1.4188269117013133,37.34373588419945,680.2291926578266,SSP1
2024,141393.0707841512,140633.09767978938,1.4754195528747962,37.728427448988676,759.9731043617969,SSP1
2025,145505.8303785607,144660.1179240918,1.532500479667883,38.05395119539118,845.7124544688878,SSP1
2026,149535.08630084936,148597.40424459148,1.5900216506863973,38.34744734567631,937.6820562578598,SSP1
2027,153441.803405222,152406.0388823208,1.6478951757789584,38.58235006170732,1035.764522901161,SSP1
2028,157217.7373272793,156077.8236418562,1.706034411215267,38.75949029087241,1139.913685423097,SSP1
2029,160854.63466888855,159604.6047333709,1.7643540514955054,38.87976018682565,1250.0299355176685,SSP1
2030,164344.2943134994,162978.33623686098,1.8227702359323252,38.94412295787988,1365.9580766384272,SSP1
2031,168392.19210704655,166898.37623819534,1.8814326086550017,39.10824848178434,1493.8158688511764,SSP1
2032,172264.20551219874,170636.09589898674,1.940246463493108,39.20923655873757,1628.1096132120128,SSP1
2033,175951.21145566338,174182.6615322824,1.999119054250749,39.2483938384274,1768.5499233810028,SSP1
2034,179444.3529202207,177529.5751615095,2.057959746537353,39.22712819106938,1914.7777587111661,SSP1
2035,182735.12117914853,180668.75617308952,2.1166801800562185,39.146955679243504,2066.365006058998,SSP1
2036,186342.03175239023,184112.91623939126,2.1753335184992753,39.10222562870451,2229.115512998988,SSP1
2037,189718.32529129388,187321.30203805014,2.233826829363667,38.995540576261185,2397.0232532437217,SSP1
2038,192855.88874940807,190286.42099916356,2.2920701250280047,38.82886377622505,2569.4677502445156,SSP1
2039,195747.2690128961,193001.50774704065,2.3499765481661052,38.604282092067145,2745.7612658553903,SSP1
2040,198385.75604609807,195460.60157832078,2.4074625566638197,38.32400566514279,2925.1544677772895,SSP1
2041,201264.31793187704,198149.75486245082,2.4645728246380365,38.07351198281132,3114.563069426243,SSP1
2042,203863.65877033392,200557.41868834564,2.521221693309453,37.765912447611186,3306.2400819883014,SSP1
2043,206178.6550838392,202679.38846167602,2.577327509073463,37.40387717600624,3499.2666221631944,SSP1
2044,208205.2211652305,204512.5375796653,2.6328127897078737,36.99018708960726,3692.683585565173,SSP1
2045,209940.3652879233,206054.86300995998,2.6876043769985865,36.527724860475374,3885.502277963376,SSP1
