Year,GDP_baseline,GDP,Temp,Emissions,Damages,SSP
2020,123959.23437599998,123482.63591167115,1.252958547527486,35.30569835165744,476.59846432884467,SSP3
2021,128449.22902530021,127910.81524151593,1.3074624876006955,36.335960048806214,538.413783784283,SSP3
2022,132856.59015163284,132250.19902455463,1.3628109433438824,36.898970495457995,606.3911270781979,SSP3
2023,137173.40016532678,136493.17547795767,1.418826195484302,37.34350142694642,680.2246873690898,SSP3
2024,141391.96311762242,140631.99673410878,1.4754183821607332,37.728124450954056,759.9663835136382,SSP3
2025,145504.45392440408,144658.7508122913,1.5324987586650198,38.05358433619113,845.7031121127458,SSP3
2026,149388.2011965981,148451.4423092588,1.5899612390768119,38.30832027452801,936.7588873392873,SSP3
2027,153151.23603631792,152117.511459982,1.6477211351931766,38.506597410909805,1033.7245763359203,SSP3
2028,156785.58299918871,155649.04277339508,1.7056949850521885,38.649233239341186,1136.5402257936632,SSP3
2029,160283.27541632252,159038.18120141618,1.7638006465376908,38.737107657001545,1245.0942149063555,SSP3
2030,163636.41472815853,162277.19330233466,1.8219574046334714,38.77117206385384,1359.2214258238944,SSP3
2031,166390.0500366428,164915.31142006093,1.879902113605588,38.62980598141112,1474.7386165818389,SSP3
2032,168991.71532170742,167397.1322549768,1.9375680398148472,38.443950806172765,1594.5830667306038,SSP3
2033,171435.07175839908,169716.6694031665,1.9948902194657971,38.21478643396651,1718.4023552325384,SSP3
2034,173714.13408027822,171868.33502506907,2.05180559545424,37.943583992295224,1845.7990552091608,SSP3
2035,175823.3246522183,173846.9914403268,2.1082531554219317,37.631706645127984,1976.3332118915202,SSP3
2036,177083.98817130624,174982.45585043708,2.163930453806299,37.11819892291108,2101.5323208691384,SSP3
2037,178181.03774039703,175953.32420692194,2.218796440549401,36.57732449540162,2227.713533475078,SSP3
2038,179111.9157350872,176757.5677114736,2.272812382530357,36.01062798730405,2354.3480236136493,SSP3
2039,179874.64093142792,177393.74598199263,2.325941958744486,35.41971747608585,2480.8949494352805,SSP3
2040,180467.82742073556,177861.02090508997,2.3781513445292104,34.80625718981646,2606.8065156455823,SSP3
2041,180463.56928586183,177738.48598070315,2.4292732086582367,34.08124275268382,2725.0833051586633,SSP3
2042,180301.7346780465,177460.78273359992,2.4792884368779537,33.34348547981136,2840.9519444465723,SSP3
