Run,Year,GDP_baseline,GDP,Temp,Emissions,Damages
0,2020,123959.23437599998,123441.13656816335,1.2493173763237464,35.347176941398175,518.0978078366581
0,2021,128406.0605373644,127824.35732716856,1.2996669650501842,36.08699315139925,581.7032101958669
0,2022,132766.78927224572,132115.8747057313,1.351055952854202,36.831960257248,650.9145665144033
0,2023,137034.0754333128,136308.0603857815,1.4031730415975974,37.35381106631019,726.0150475312867
0,2024,141200.20418027017,140393.28847823926,1.4562225085249074,38.022073230679595,806.9157020309136
0,2025,145257.4751768633,144363.4199476227,1.5087345542577304,37.63688805925283,894.0552292406469
0,2026,149083.21483121783,148098.24075401906,1.5614354206245984,37.77222121886692,984.9740771988057
0,2027,152786.85254557198,151705.6565818396,1.614674252760663,38.157796702594496,1081.1959637323484
0,2028,156361.08941813512,155177.86014549312,1.6688256380176572,38.81184967617897,1183.2292726420014
0,2029,159798.06398441322,158506.35756735085,1.7228154903893873,38.69607442812436,1291.7064170623767
0,2030,163089.21460244828,161684.22485634848,1.7768950274284192,38.76035399934967,1404.9897460998236
0,2031,165782.053019995,164262.79535894227,1.830674677140124,38.54541615772699,1519.2576610527185
0,2032,168323.07026083412,166685.7396925122,1.8835139668705556,37.87143321044951,1637.3305683218948
0,2033,170706.51904455246,168948.76472468115,1.9373382980864284,38.57744067224028,1757.7543198712665
0,2034,172928.14236391714,171044.28949295531,1.9894827048476507,37.37339067256232,1883.8528709618622
0,2035,174980.31639767322,172970.11342441163,2.040816700601539,36.792545878965996,2010.2029732615892
0,2036,176190.78285948868,174060.87134286412,2.092495864375687,37.03993769086075,2129.9115166245665
0,2037,177242.60718102037,174990.09201459965,2.1435332907100797,36.57998607697057,2252.515166420763
0,2038,178131.39226932044,175755.80327049165,2.1935589158755655,35.854799183164424,2375.5889988287763
0,2039,178855.21063798992,176357.33632821607,2.242709360874304,35.22753247687127,2497.8743097738434
0,2040,179413.45767675416,176794.2412548341,2.2907947625293494,34.464185390590174,2619.2164219200467
0,2041,179381.1800004128,176648.93514433608,2.337857689297567,33.731348337264265,2732.2448560766816
0,2042,179196.47092645685,176353.7385737328,2.383639668118726,32.813256234388646,2842.7323527240515
0,2043,178860.8608234323,175911.2351645248,2.4287450533922805,32.328322249100886,2949.6256589075215
0,2044,178377.01202382596,175322.98327859506,2.472163527249382,31.119264493668055,3054.0287452308894
0,2045,177746.5430757188,174593.52885039028,2.5153631777306913,30.962427509229887,3153.0142253285276
0,2046,176786.42825984553,173539.8887165925,2.557648832098646,30.30734030162106,3246.5395432530477
0,2047,175692.5173048244,172356.67529910055,2.5980553023706423,28.96047520666429,3335.8420057238495
0,2048,174468.43231819844,171050.33818654018,2.6385585160166616,29.02981395528424,3418.09413165828
0,2049,173120.7227683521,169622.45624444628,2.6774893606007737,27.90285198789209,3498.2665239058033
0,2050,171651.00437272253,168079.32690576877,2.715283785765771,27.088347622871254,3571.6774669537513
0,2051,169968.34703660503,166331.132812801,2.7517598657073035,26.143451820268865,3637.214223804006
0,2052,168179.72911762068,164483.44717656675,2.7871312795128182,25.351705943224097,3696.281941053978
0,2053,166291.41472562816,162542.0727310837,2.821245896173895,24.450923412696383,3749.3419945444775
0,2054,164309.2763677829,160513.38005306956,2.8545330623044616,23.8578659045234,3795.8963147133213
0,2055,162239.75749954884,158402.70429630534,2.887050128882211,23.305913485618404,3837.0532032435085
0,2056,160022.2099046252,156150.88794849778,2.9177818463434306,22.02630260952788,3871.321956127393
0,2057,157731.21382280887,153833.6462023839,2.946818197101188,20.811184707584516,3897.567620424963
0,2058,155374.9219305118,151458.7839349144,2.975216390403971,20.353798971381128,3916.1379955974257
0,2059,152961.21267045417,149031.24650673903,3.0031197061937993,19.99910607571923,3929.9661637151153
0,2060,150495.0739917331,146555.6026106077,3.0295173496804795,18.91994758671622,3939.4713811254082
0,2061,147916.47825894403,143976.13711413788,3.0551172921850362,18.348212432429694,3940.3411448061574
0,2062,145300.76045053962,141364.40741725452,3.079733936204807,17.643454229159673,3936.353033285068
0,2063,142653.1452904829,138725.98953394606,3.103114620270479,16.75760631009659,3927.1557565368626
0,2064,139979.24922443123,136066.9715415075,3.126008243599879,16.40851592229521,3912.2776829237214
0,2065,137285.2038979759,133391.39755337196,3.147735130231526,15.572282294845614,3893.8063446039523
0,2066,134467.6397019081,130600.54755049205,3.1687803369597187,15.083702772557203,3867.0921514160764
0,2067,131645.83855290225,127809.10374941735,3.1886310448307364,14.227571209846126,3836.734803484872
0,2068,128823.93040587634,125022.25123832068,3.2080386000350707,13.909950993829128,3801.679167555638
0,2069,126007.12969069686,122243.17257460862,3.226742006029668,13.405267075805586,3763.9571160882647
0,2070,123198.63173723186,119475.53134023875,3.2443150670596133,12.595116446378817,3723.100396993089
0,2071,120337.70322842183,116661.34229332214,3.261217889826022,12.114737475312076,3676.360935099696
0,2072,117497.17451435167,113870.0920253942,3.2773827913472626,11.585848171660128,3627.0824889574615
0,2073,114680.12249906143,111104.81941401874,3.29295570852776,11.16155602964879,3575.303085042691
0,2074,111889.59612628102,108368.06231675725,3.307733455932076,10.591635063200684,3521.533809523794
0,2075,109128.13952324919,105662.62167052456,3.321654363958615,9.97751372596979,3465.5178527246494
0,2076,106360.90351867245,102954.77308340839,3.335147899019929,9.671203274200927,3406.1304352640614
0,2077,103630.69296417275,100284.97772037462,3.348028984327648,9.232242984304083,3345.7152437981144
0,2078,100939.07553873665,97655.03795671405,3.3603662838056456,8.842496096407706,3284.0375820225972
