Scenario,Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP2,Albania,38.6186,40.6603,42.702,44.743700000000004,46.7854,48.8271,50.64326,52.45942,54.27558,56.09174,57.9079,59.62728,61.34666,63.06604,64.78542,66.5048,68.0673,69.6298,71.1923,72.7548,74.3173,75.69232000000001,77.06734,78.44236000000001,79.81738,81.1924,82.33918,83.48596,84.63274,85.77952,86.9263,87.91204,88.89778,89.88352,90.86926,91.855,92.7559,93.6568,94.5577,95.4586,96.3595,97.2896,98.2197,99.1498,100.07990000000001,101.01,101.9726,102.9352,103.8978,104.8604,105.823,106.6742,107.52539999999999,108.3766,109.22779999999999,110.079,110.80019999999999,111.5214,112.2426,112.9638,113.685,114.2916,114.8982,115.5048,116.1114,116.718,117.254,117.79,118.326,118.862,119.398,119.9186,120.4392,120.9598,121.4804,122.001,122.57560000000001,123.1502,123.7248,124.29939999999999,124.874
SSP2,Algeria,463.722,479.6352,495.5484,511.4616,527.3748,543.288,553.8822,564.4764,575.0706,585.6648,596.259,610.3378,624.4166,638.4954,652.5742,666.653,681.875,697.097,712.3190000000001,727.541,742.763,761.1412,779.5194,797.8976,816.2758,834.654,857.6792,880.7044,903.7296,926.7547999999999,949.78,978.3979999999999,1007.016,1035.634,1064.252,1092.87,1127.9379999999999,1163.0059999999999,1198.074,1233.142,1268.21,1310.2440000000001,1352.278,1394.3120000000001,1436.346,1478.38,1525.958,1573.536,1621.114,1668.692,1716.27,1769.568,1822.866,1876.164,1929.462,1982.76,2042.182,2101.604,2161.026,2220.448,2279.87,2346.6659999999997,2413.462,2480.258,2547.054,2613.85,2689.346,2764.842,2840.3379999999997,2915.834,2991.33,3076.094,3160.858,3245.622,3330.386,3415.15,3508.118,3601.086,3694.054,3787.022,3879.99
SSP2,Angola,201.395,206.5234,211.6518,216.7802,221.9086,227.037,236.15800000000002,245.279,254.4,263.521,272.642,284.7544,296.8668,308.9792,321.0916,333.204,348.4326,363.6612,378.8898,394.1184,409.347,429.378,449.409,469.44,489.471,509.502,535.641,561.78,587.919,614.058,640.197,673.6408,707.0846,740.5284,773.9722,807.416,849.2668,891.1176,932.9684,974.8191999999999,1016.67,1067.9759999999999,1119.282,1170.588,1221.894,1273.2,1334.402,1395.604,1456.806,1518.008,1579.21,1651.146,1723.082,1795.018,1866.9540000000002,1938.89,2021.6080000000002,2104.326,2187.044,2269.762,2352.48,2446.094,2539.708,2633.322,2726.936,2820.55,2925.32,3030.09,3134.86,3239.63,3344.4,3459.76,3575.12,3690.48,3805.8399999999997,3921.2,4046.254,4171.308,4296.362,4421.416,4546.47
SSP2,Antigua and Barbuda,1.7409400000000002,1.8593520000000001,1.977764,2.0961760000000003,2.214588,2.333,2.404452,2.4759040000000003,2.547356,2.6188080000000005,2.6902600000000003,2.771002,2.851744,2.9324860000000004,3.0132280000000002,3.09397,3.179352,3.2647340000000002,3.350116,3.435498,3.52088,3.613994,3.707108,3.800222,3.893336,3.98645,4.088648,4.1908460000000005,4.293044,4.395242,4.49744,4.610612,4.723784,4.836956,4.950128,5.0633,5.190066,5.316832,5.443598,5.570364,5.69713,5.838559999999999,5.97999,6.12142,6.26285,6.40428,6.554932,6.705584,6.856236,7.006888,7.15754,7.316358,7.475176,7.6339939999999995,7.792812,7.95163,8.115802,8.279974,8.444146,8.608317999999999,8.77249,8.940714,9.108938,9.277161999999999,9.445386,9.61361,9.784647999999999,9.955686,10.126724,10.297762,10.4688,10.6407,10.8126,10.9845,11.1564,11.3283,11.498240000000001,11.668180000000001,11.83812,12.00806,12.178
SSP2,Argentina,750.58,772.8122000000001,795.0444,817.2766,839.5088,861.741,884.4652,907.1894,929.9136,952.6378,975.362,997.3915999999999,1019.4212,1041.4508,1063.4804,1085.51,1110.382,1135.254,1160.126,1184.9979999999998,1209.87,1238.608,1267.346,1296.0839999999998,1324.822,1353.56,1386.682,1419.804,1452.926,1486.048,1519.17,1556.586,1594.002,1631.4180000000001,1668.834,1706.25,1747.092,1787.934,1828.776,1869.618,1910.46,1954.72,1998.98,2043.2400000000002,2087.5,2131.76,2178.7380000000003,2225.7160000000003,2272.694,2319.672,2366.65,2415.35,2464.05,2512.75,2561.4500000000003,2610.15,2660.196,2710.242,2760.288,2810.3340000000003,2860.38,2911.768,2963.156,3014.5440000000003,3065.9320000000002,3117.32,3170.0440000000003,3222.768,3275.492,3328.216,3380.94,3434.664,3488.388,3542.112,3595.836,3649.56,3703.848,3758.136,3812.424,3866.712,3921.0
SSP2,Armenia,37.5166,40.50004,43.48348,46.466919999999995,49.450359999999996,52.4338,55.04468,57.65556,60.26644,62.877320000000005,65.4882,68.15194000000001,70.81568,73.47942,76.14316,78.8069,81.17126,83.53562,85.89998,88.26433999999999,90.6287,92.62616,94.62362,96.62107999999999,98.61854,100.616,102.3326,104.0492,105.7658,107.4824,109.199,110.8064,112.4138,114.02120000000001,115.6286,117.236,118.90440000000001,120.5728,122.2412,123.9096,125.578,127.3886,129.1992,131.0098,132.8204,134.631,136.3736,138.1162,139.8588,141.60139999999998,143.344,144.8024,146.2608,147.7192,149.17759999999998,150.636,151.9838,153.3316,154.6794,156.0272,157.375,158.7204,160.0658,161.4112,162.7566,164.102,165.5634,167.0248,168.4862,169.9476,171.409,173.0454,174.6818,176.3182,177.9546,179.591,181.3924,183.1938,184.9952,186.7966,188.598
SSP2,Aruba,3.11606,3.413322,3.7105840000000003,4.007846000000001,4.305108000000001,4.6023700000000005,4.659338,4.716306,4.773274,4.830242,4.88721,4.962575999999999,5.037941999999999,5.113308,5.188674,5.26404,5.345228,5.426416,5.507604,5.588792,5.66998,5.7583079999999995,5.846636,5.934964,6.0232920000000005,6.11162,6.212138,6.3126560000000005,6.413174,6.513692,6.61421,6.73117,6.84813,6.96509,7.082050000000001,7.19901,7.33633,7.47365,7.61097,7.74829,7.88561,8.038738,8.191866000000001,8.344994,8.498122,8.651250000000001,8.812402,8.973554,9.134706000000001,9.295858,9.45701,9.625588,9.794166,9.962743999999999,10.131321999999999,10.2999,10.475399999999999,10.6509,10.8264,11.001900000000001,11.1774,11.359300000000001,11.5412,11.7231,11.905,12.0869,12.27438,12.46186,12.64934,12.83682,13.0243,13.21494,13.40558,13.596219999999999,13.786859999999999,13.9775,14.16742,14.357339999999999,14.54726,14.737179999999999,14.9271
SSP2,Australia,1202.79,1238.908,1275.026,1311.144,1347.2620000000002,1383.38,1421.882,1460.384,1498.8860000000002,1537.3880000000001,1575.89,1617.354,1658.818,1700.2820000000002,1741.746,1783.21,1827.868,1872.526,1917.184,1961.842,2006.5,2054.77,2103.04,2151.31,2199.58,2247.85,2298.002,2348.154,2398.306,2448.458,2498.61,2549.556,2600.502,2651.4480000000003,2702.3940000000002,2753.34,2806.254,2859.168,2912.082,2964.996,3017.91,3072.6659999999997,3127.422,3182.178,3236.934,3291.69,3346.722,3401.754,3456.786,3511.8179999999998,3566.85,3621.056,3675.262,3729.468,3783.674,3837.88,3890.382,3942.884,3995.3860000000004,4047.8880000000004,4100.39,4150.492,4200.594,4250.696,4300.798,4350.9,4398.364,4445.8279999999995,4493.292,4540.756,4588.22,4633.118,4678.0160000000005,4722.914,4767.812,4812.71,4854.848,4896.986,4939.124,4981.262,5023.4
SSP2,Austria,435.834,445.6748,455.5156,465.3564,475.1972,485.038,494.74060000000003,504.44320000000005,514.1458,523.8484000000001,533.551,540.8328,548.1146,555.3964000000001,562.6782000000001,569.96,577.225,584.49,591.755,599.02,606.285,613.5876,620.8901999999999,628.1928,635.4954,642.798,649.7814,656.7648,663.7482,670.7316000000001,677.715,684.5146,691.3142,698.1138,704.9134,711.713,718.6442,725.5754,732.5066,739.4378,746.369,753.5112,760.6534,767.7956,774.9378,782.08,789.1754000000001,796.2708,803.3662,810.4616,817.557,824.3896,831.2222,838.0548,844.8874000000001,851.72,857.9098,864.0996,870.2894,876.4792,882.669,888.0348,893.4006,898.7664,904.1322,909.498,914.0708000000001,918.6436,923.2164,927.7891999999999,932.362,936.2737999999999,940.1856,944.0974,948.0092000000001,951.921,955.221,958.5210000000001,961.821,965.1210000000001,968.421
SSP2,Azerbaijan,138.624,143.8958,149.1676,154.4394,159.7112,164.983,169.2696,173.5562,177.8428,182.1294,186.416,190.408,194.4,198.392,202.38400000000001,206.376,210.3982,214.4204,218.4426,222.4648,226.487,231.053,235.619,240.185,244.751,249.317,254.6798,260.0426,265.4054,270.7682,276.131,282.1354,288.1398,294.1442,300.1486,306.153,312.8324,319.5118,326.19120000000004,332.8706,339.55,346.8148,354.0796,361.3444,368.60920000000004,375.874,383.55420000000004,391.2344,398.9146,406.59479999999996,414.275,422.2808,430.28659999999996,438.2924,446.29819999999995,454.304,462.6404,470.97679999999997,479.3132,487.64959999999996,495.986,504.794,513.602,522.41,531.218,540.026,549.3426,558.6591999999999,567.9758,577.2924,586.609,596.2902,605.9714,615.6526,625.3338,635.015,644.8906,654.7662,664.6418,674.5174000000001,684.393
