Scenario,Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP1,Albania,38.6186,40.6603,42.702,44.743700000000004,46.7854,48.8271,50.67458,52.52206,54.36954,56.217020000000005,58.0645,60.13564,62.20678,64.27792,66.34906,68.4202,70.59138,72.76256,74.93374,77.10491999999999,79.2761,81.2842,83.2923,85.3004,87.3085,89.3166,90.88546,92.45432,94.02318,95.59204,97.1609,98.38012,99.59934,100.81856,102.03778,103.257,104.2604,105.2638,106.2672,107.2706,108.274,109.2286,110.1832,111.1378,112.0924,113.047,113.9868,114.9266,115.8664,116.80619999999999,117.746,118.5298,119.3136,120.09740000000001,120.8812,121.665,122.286,122.907,123.528,124.149,124.77,125.2284,125.68679999999999,126.1452,126.6036,127.062,127.376,127.69,128.004,128.318,128.632,128.802,128.972,129.142,129.312,129.482,129.5488,129.6156,129.6824,129.7492,129.816
SSP1,Algeria,463.722,479.6352,495.5484,511.4616,527.3748,543.288,553.8082,564.3284,574.8486,585.3688,595.889,610.8778,625.8666,640.8554,655.8442,670.833,689.7488,708.6646,727.5804,746.4962,765.412,791.0292000000001,816.6464000000001,842.2636,867.8808,893.498,925.1784,956.8588000000001,988.5392,1020.2196000000001,1051.9,1089.832,1127.7640000000001,1165.696,1203.628,1241.56,1286.8419999999999,1332.124,1377.406,1422.688,1467.97,1520.828,1573.686,1626.544,1679.402,1732.26,1790.166,1848.072,1905.978,1963.884,2021.79,2083.978,2146.166,2208.354,2270.542,2332.73,2398.826,2464.922,2531.018,2597.114,2663.21,2733.6440000000002,2804.078,2874.512,2944.946,3015.38,3090.98,3166.58,3242.1800000000003,3317.78,3393.38,3474.34,3555.3,3636.2599999999998,3717.22,3798.18,3883.172,3968.164,4053.156,4138.148,4223.14
SSP1,Angola,201.395,206.5234,211.6518,216.7802,221.9086,227.037,236.1552,245.2734,254.39159999999998,263.5098,272.628,285.168,297.70799999999997,310.248,322.78799999999995,335.328,351.8478,368.3676,384.8874,401.4072,417.927,440.8138,463.7006,486.5874,509.4742,532.361,562.2354,592.1098,621.9842,651.8585999999999,681.733,719.2864,756.8398,794.3932,831.9466,869.5,915.98,962.46,1008.94,1055.42,1101.9,1158.134,1214.368,1270.602,1326.836,1383.07,1448.9779999999998,1514.886,1580.7939999999999,1646.7019999999998,1712.61,1788.1699999999998,1863.7299999999998,1939.29,2014.85,2090.41,2174.644,2258.8779999999997,2343.112,2427.346,2511.58,2603.574,2695.568,2787.562,2879.556,2971.55,3070.5460000000003,3169.5420000000004,3268.538,3367.534,3466.53,3571.0640000000003,3675.598,3780.132,3884.6659999999997,3989.2,4097.294,4205.388,4313.482,4421.576,4529.67
SSP1,Antigua and Barbuda,1.7409400000000002,1.8593520000000001,1.977764,2.0961760000000003,2.214588,2.333,2.404894,2.476788,2.5486820000000003,2.6205760000000002,2.69247,2.78145,2.8704300000000003,2.95941,3.0483900000000004,3.13737,3.2436100000000003,3.34985,3.45609,3.5623299999999998,3.66857,3.7925999999999997,3.9166299999999996,4.04066,4.164689999999999,4.28872,4.421069999999999,4.55342,4.68577,4.81812,4.95047,5.089666,5.228862,5.3680579999999996,5.507254,5.64645,5.79535,5.94425,6.09315,6.24205,6.39095,6.550104,6.709258,6.868412,7.027566,7.18672,7.347944,7.509168,7.6703920000000005,7.831616,7.99284,8.15323,8.31362,8.47401,8.634400000000001,8.79479,8.948954,9.103118,9.257282,9.411446,9.56561,9.710868,9.856126,10.001384,10.146642,10.2919,10.42568,10.55946,10.693240000000001,10.827020000000001,10.9608,11.08038,11.19996,11.31954,11.43912,11.5587,11.66084,11.76298,11.86512,11.96726,12.0694
SSP1,Argentina,750.58,772.8122000000001,795.0444,817.2766,839.5088,861.741,884.7392,907.7374,930.7356,953.7338,976.732,1001.4136,1026.0952,1050.7768,1075.4584,1100.14,1130.278,1160.416,1190.554,1220.692,1250.83,1286.552,1322.274,1357.996,1393.718,1429.44,1468.652,1507.864,1547.076,1586.288,1625.5,1667.52,1709.54,1751.56,1793.58,1835.6,1879.78,1923.96,1968.1399999999999,2012.32,2056.5,2102.69,2148.88,2195.0699999999997,2241.2599999999998,2287.45,2334.366,2381.282,2428.198,2475.114,2522.03,2567.88,2613.73,2659.5800000000004,2705.4300000000003,2751.28,2794.9680000000003,2838.656,2882.344,2926.0319999999997,2969.72,3010.7239999999997,3051.7279999999996,3092.732,3133.736,3174.74,3212.4379999999996,3250.136,3287.834,3325.532,3363.23,3396.536,3429.842,3463.148,3496.454,3529.76,3557.262,3584.764,3612.266,3639.768,3667.27
SSP1,Armenia,37.5166,40.50004,43.48348,46.466919999999995,49.450359999999996,52.4338,55.07358,57.71336,60.353139999999996,62.99292,65.6327,68.61656,71.60042,74.58428,77.56814,80.552,83.44470000000001,86.3374,89.23010000000001,92.1228,95.0155,97.524,100.0325,102.54100000000001,105.04950000000001,107.558,109.592,111.626,113.66,115.694,117.728,119.49499999999999,121.262,123.029,124.796,126.563,128.3064,130.0498,131.7932,133.5366,135.28,137.1484,139.01680000000002,140.8852,142.7536,144.622,146.4152,148.2084,150.0016,151.7948,153.588,155.0444,156.5008,157.9572,159.4136,160.87,162.1672,163.4644,164.7616,166.0588,167.356,168.5644,169.7728,170.9812,172.18959999999998,173.398,174.6006,175.8032,177.0058,178.2084,179.411,180.6792,181.94740000000002,183.2156,184.4838,185.752,187.125,188.498,189.871,191.244,192.617
SSP1,Aruba,3.11606,3.413322,3.7105840000000003,4.007846000000001,4.305108000000001,4.6023700000000005,4.65861,4.71485,4.77109,4.82733,4.88357,4.961346,5.039122,5.116898,5.194674,5.27245,5.365466,5.458482,5.551498,5.644514,5.73753,5.844195999999999,5.950862,6.057528,6.164194,6.27086,6.386572,6.502284,6.617996,6.733708,6.84942,6.9748980000000005,7.100376000000001,7.225854,7.351332,7.47681,7.6164320000000005,7.756054000000001,7.895676,8.035298000000001,8.17492,8.324038,8.473156,8.622274,8.771392,8.92051,9.071148,9.221786,9.372424,9.523062,9.6737,9.8242,9.9747,10.1252,10.2757,10.4262,10.57512,10.72404,10.872959999999999,11.02188,11.1708,11.31504,11.45928,11.60352,11.74776,11.892,12.02918,12.16636,12.30354,12.440719999999999,12.5779,12.70448,12.83106,12.95764,13.08422,13.2108,13.32116,13.43152,13.54188,13.65224,13.7626
SSP1,Australia,1202.79,1238.908,1275.026,1311.144,1347.2620000000002,1383.38,1422.72,1462.06,1501.4,1540.74,1580.08,1628.414,1676.748,1725.0819999999999,1773.416,1821.75,1879.472,1937.194,1994.9160000000002,2052.638,2110.36,2175.512,2240.664,2305.816,2370.968,2436.12,2501.882,2567.644,2633.406,2699.1679999999997,2764.93,2829.354,2893.778,2958.202,3022.626,3087.05,3152.2160000000003,3217.382,3282.5480000000002,3347.714,3412.88,3478.938,3544.996,3611.054,3677.112,3743.17,3808.3160000000003,3873.462,3938.608,4003.754,4068.9,4131.26,4193.62,4255.98,4318.34,4380.7,4438.6759999999995,4496.652,4554.628,4612.604,4670.58,4721.202,4771.824,4822.446,4873.067999999999,4923.69,4964.054,5004.418,5044.782,5085.146,5125.51,5154.868,5184.226000000001,5213.584,5242.942,5272.3,5292.4980000000005,5312.696,5332.894,5353.092,5373.29
SSP1,Austria,435.834,445.6748,455.5156,465.3564,475.1972,485.038,494.9214,504.8048,514.6882,524.5716,534.455,543.0638,551.6726,560.2814000000001,568.8902,577.499,586.8404,596.1818000000001,605.5232,614.8646,624.206,633.7138,643.2216,652.7294,662.2372,671.745,680.4506,689.1562,697.8618,706.5674,715.273,723.4342,731.5954,739.7565999999999,747.9177999999999,756.079,764.1469999999999,772.2149999999999,780.283,788.351,796.419,804.4997999999999,812.5806,820.6614,828.7422,836.823,844.6246,852.4262,860.2278,868.0294,875.831,883.1644,890.4978,897.8312000000001,905.1646000000001,912.498,918.9236000000001,925.3492,931.7748,938.2004,944.626,949.0052,953.3844,957.7636,962.1428000000001,966.522,968.7058000000001,970.8896000000001,973.0734,975.2572,977.441,977.4648,977.4886,977.5124,977.5362,977.56,976.0509999999999,974.5419999999999,973.033,971.524,970.015
SSP1,Azerbaijan,138.624,143.8958,149.1676,154.4394,159.7112,164.983,169.3066,173.6302,177.9538,182.2774,186.601,191.2114,195.8218,200.4322,205.0426,209.653,215.174,220.695,226.216,231.737,237.258,244.18560000000002,251.1132,258.0408,264.96840000000003,271.896,279.75620000000004,287.6164,295.4766,303.3368,311.197,319.6572,328.1174,336.5776,345.0378,353.498,362.64799999999997,371.798,380.948,390.098,399.248,409.0046,418.7612,428.5178,438.2744,448.031,458.1484,468.2658,478.3832,488.5006,498.618,508.8584,519.0988,529.3392,539.5796,549.82,560.0886,570.3572,580.6258,590.8944,601.163,611.5312,621.8994,632.2676,642.6358,653.004,663.5260000000001,674.048,684.57,695.092,705.614,716.1766,726.7392,737.3018000000001,747.8644,758.427,768.8772,779.3274,789.7776,800.2278,810.678
