Scenario,Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP3,Albania,38.6186,40.6603,42.702,44.743700000000004,46.7854,48.8271,50.61376,52.40042,54.18708,55.97374,57.7604,59.17088,60.58136,61.991839999999996,63.402319999999996,64.8128,65.80422,66.79564,67.78706,68.77848,69.7699,70.4182,71.0665,71.7148,72.3631,73.0114,73.46611999999999,73.92084,74.37556,74.83028,75.285,75.64788,76.01076,76.37364,76.73652,77.0994,77.41902,77.73864,78.05826,78.37788,78.6975,79.03800000000001,79.3785,79.71900000000001,80.0595,80.4,80.75704,81.11408,81.47112,81.82816,82.1852,82.46249999999999,82.7398,83.0171,83.29440000000001,83.5717,83.75972,83.94774,84.13576,84.32378,84.5118,84.63503999999999,84.75828,84.88152,85.00476,85.128,85.24552,85.36304,85.48056,85.59808,85.7156,85.8737,86.0318,86.1899,86.348,86.5061,86.73712,86.96814,87.19915999999999,87.43018,87.6612
SSP3,Algeria,463.722,479.6352,495.5484,511.4616,527.3748,543.288,554.133,564.9780000000001,575.823,586.668,597.513,610.7286,623.9442,637.1598,650.3754,663.591,673.6824,683.7738,693.8652,703.9566,714.048,721.949,729.85,737.751,745.652,753.553,761.7652,769.9774,778.1896,786.4018,794.614,804.086,813.558,823.0300000000001,832.5020000000001,841.974,852.5202,863.0664,873.6126,884.1588,894.705,906.0278000000001,917.3506,928.6734,939.9961999999999,951.319,962.2171999999999,973.1153999999999,984.0136,994.9118,1005.81,1016.404,1026.998,1037.5919999999999,1048.186,1058.78,1069.228,1079.676,1090.124,1100.572,1111.02,1121.896,1132.772,1143.6480000000001,1154.5240000000001,1165.4,1177.0700000000002,1188.74,1200.41,1212.08,1223.75,1236.054,1248.358,1260.662,1272.966,1285.27,1297.7259999999999,1310.182,1322.638,1335.094,1347.55
SSP3,Angola,201.395,206.5234,211.6518,216.7802,221.9086,227.037,236.1758,245.3146,254.4534,263.5922,272.731,284.4318,296.1326,307.8334,319.5342,331.235,343.9244,356.6138,369.3032,381.99260000000004,394.682,409.2572,423.8324,438.4076,452.9828,467.558,484.942,502.32599999999996,519.7099999999999,537.0939999999999,554.478,575.1021999999999,595.7264,616.3506,636.9748000000001,657.599,681.0546,704.5102,727.9658,751.4214,774.877,800.8661999999999,826.8553999999999,852.8446,878.8338,904.823,932.6784,960.5337999999999,988.3892,1016.2445999999999,1044.1,1073.5639999999999,1103.028,1132.492,1161.9560000000001,1191.42,1221.722,1252.0240000000001,1282.326,1312.6280000000002,1342.93,1373.4660000000001,1404.002,1434.538,1465.0739999999998,1495.61,1525.962,1556.3139999999999,1586.666,1617.0179999999998,1647.37,1676.7199999999998,1706.07,1735.4199999999998,1764.77,1794.12,1821.7839999999999,1849.4479999999999,1877.112,1904.776,1932.44
SSP3,Antigua and Barbuda,1.7409400000000002,1.8593520000000001,1.977764,2.0961760000000003,2.214588,2.333,2.4036560000000002,2.4743120000000003,2.544968,2.615624,2.68628,2.753762,2.821244,2.888726,2.956208,3.02369,3.0770720000000003,3.1304540000000003,3.183836,3.237218,3.2906,3.3319039999999998,3.373208,3.4145119999999998,3.455816,3.49712,3.533528,3.5699359999999998,3.606344,3.6427519999999998,3.67916,3.714596,3.750032,3.785468,3.820904,3.85634,3.892236,3.928132,3.964028,3.999924,4.03582,4.073308,4.110796,4.148284,4.185772,4.22326,4.2598519999999995,4.296444,4.333036,4.3696280000000005,4.40622,4.442938,4.479656,4.516374,4.553092,4.58981,4.6264899999999995,4.66317,4.69985,4.73653,4.77321,4.81055,4.84789,4.88523,4.9225699999999994,4.95991,4.9985539999999995,5.037198,5.075842,5.114486,5.15313,5.193078,5.233026,5.2729740000000005,5.312922,5.35287,5.394062,5.4352540000000005,5.476446,5.517638000000001,5.55883
SSP3,Argentina,750.58,772.8122000000001,795.0444,817.2766,839.5088,861.741,884.2234,906.7058,929.1882,951.6706,974.153,993.3204000000001,1012.4878,1031.6552,1050.8226,1069.99,1088.694,1107.398,1126.102,1144.806,1163.51,1182.368,1201.2259999999999,1220.084,1238.942,1257.8,1278.118,1298.436,1318.7540000000001,1339.0720000000001,1359.39,1381.124,1402.858,1424.592,1446.326,1468.06,1489.942,1511.824,1533.706,1555.588,1577.47,1599.416,1621.362,1643.308,1665.2540000000001,1687.2,1709.0,1730.8,1752.6000000000001,1774.4,1796.2,1817.582,1838.964,1860.346,1881.7279999999998,1903.11,1924.166,1945.222,1966.278,1987.334,2008.39,2029.5900000000001,2050.79,2071.99,2093.19,2114.39,2136.13,2157.87,2179.61,2201.35,2223.09,2245.5640000000003,2268.038,2290.512,2312.986,2335.46,2358.882,2382.304,2405.726,2429.148,2452.57
SSP3,Armenia,37.5166,40.50004,43.48348,46.466919999999995,49.450359999999996,52.4338,55.01206,57.59032,60.168580000000006,62.746840000000006,65.3251,67.65486,69.98462,72.31438,74.64414000000001,76.9739,78.75798,80.54206,82.32614,84.11022,85.8943,87.20448,88.51466,89.82484,91.13502,92.4452,93.51258,94.57996,95.64734,96.71472,97.7821,98.78548,99.78886,100.79224,101.79562,102.799,103.83840000000001,104.87780000000001,105.9172,106.9566,107.996,109.0812,110.1664,111.2516,112.3368,113.422,114.371,115.32,116.269,117.218,118.167,118.8462,119.5254,120.2046,120.88380000000001,121.563,122.1474,122.7318,123.3162,123.9006,124.485,125.0864,125.6878,126.28920000000001,126.8906,127.492,128.1798,128.8676,129.55540000000002,130.2432,130.931,131.696,132.461,133.226,133.991,134.756,135.5594,136.3628,137.1662,137.96959999999999,138.773
SSP3,Aruba,3.11606,3.413322,3.7105840000000003,4.007846000000001,4.305108000000001,4.6023700000000005,4.656594,4.710818000000001,4.765042,4.819266000000001,4.87349,4.926198,4.978906,5.031614,5.084322,5.13703,5.17773,5.218430000000001,5.25913,5.29983,5.34053,5.37289,5.40525,5.43761,5.46997,5.50233,5.535492,5.5686539999999995,5.601816,5.634978,5.66814,5.7074940000000005,5.746848,5.786202,5.825556,5.86491,5.911868,5.958826,6.005784,6.052742,6.0997,6.150326000000001,6.200952,6.251578,6.302204,6.35283,6.402004,6.451178,6.500352,6.549526,6.5987,6.648118,6.697536,6.746954,6.796372,6.84579,6.897034,6.948278,6.999522,7.050766,7.10201,7.155366,7.208722,7.262078,7.315434,7.36879,7.4235,7.47821,7.53292,7.58763,7.64234,7.697006,7.751672,7.806338,7.861004,7.91567,7.969384000000001,8.023098000000001,8.076812,8.130526000000001,8.18424
SSP3,Australia,1202.79,1238.908,1275.026,1311.144,1347.2620000000002,1383.38,1420.736,1458.092,1495.448,1532.804,1570.16,1602.7640000000001,1635.3680000000002,1667.972,1700.576,1733.18,1760.712,1788.244,1815.776,1843.308,1870.84,1894.2,1917.56,1940.92,1964.28,1987.64,2008.4840000000002,2029.3280000000002,2050.172,2071.016,2091.86,2110.568,2129.2760000000003,2147.984,2166.692,2185.4,2202.89,2220.38,2237.87,2255.36,2272.85,2289.586,2306.322,2323.058,2339.7940000000003,2356.53,2371.7940000000003,2387.058,2402.322,2417.586,2432.85,2446.54,2460.23,2473.92,2487.61,2501.3,2513.3500000000004,2525.4,2537.4500000000003,2549.5,2561.55,2572.406,2583.262,2594.118,2604.974,2615.83,2626.2019999999998,2636.574,2646.946,2657.318,2667.69,2678.1240000000003,2688.558,2698.992,2709.426,2719.86,2730.2200000000003,2740.58,2750.94,2761.2999999999997,2771.66
SSP3,Austria,435.834,445.6748,455.5156,465.3564,475.1972,485.038,494.374,503.71,513.0459999999999,522.382,531.718,536.545,541.372,546.199,551.026,555.853,559.0967999999999,562.3406,565.5844,568.8282,572.072,574.289,576.506,578.7230000000001,580.94,583.157,584.4768,585.7966,587.1164,588.4362,589.756,590.4786,591.2012,591.9238,592.6464,593.369,593.7946000000001,594.2202,594.6458,595.0713999999999,595.497,595.8118,596.1265999999999,596.4414,596.7562,597.071,597.1584,597.2458,597.3332,597.4206,597.508,597.2862,597.0644,596.8426000000001,596.6208,596.399,595.7236,595.0482000000001,594.3728,593.6974,593.022,591.9626000000001,590.9032000000001,589.8438,588.7844,587.725,586.4492,585.1734,583.8976,582.6218,581.346,580.0054,578.6648,577.3242,575.9836,574.643,573.2306,571.8182,570.4058,568.9934000000001,567.581
SSP3,Azerbaijan,138.624,143.8958,149.1676,154.4394,159.7112,164.983,169.3038,173.6246,177.9454,182.2662,186.587,190.057,193.527,196.997,200.467,203.937,206.156,208.375,210.59400000000002,212.81300000000002,215.032,216.47560000000001,217.91920000000002,219.3628,220.8064,222.25,223.6064,224.96280000000002,226.3192,227.6756,229.032,230.3246,231.6172,232.90980000000002,234.2024,235.495,236.7176,237.9402,239.1628,240.3854,241.608,242.7028,243.7976,244.8924,245.9872,247.082,248.0108,248.93959999999998,249.8684,250.7972,251.726,252.5658,253.4056,254.24540000000002,255.08520000000001,255.925,256.78020000000004,257.6354,258.49060000000003,259.3458,260.201,261.16020000000003,262.11940000000004,263.0786,264.0378,264.997,266.043,267.089,268.135,269.181,270.227,271.28299999999996,272.339,273.395,274.451,275.507,276.5734,277.6398,278.7062,279.7726,280.839
