,Year,energy_intensity,carbon_intensity
0,2015,1.413034058975872,0.232533041632169
1,2016,1.3955088165917635,0.23085359513522039
2,2017,1.3782009321111466,0.22918627827161897
3,2018,1.3611077097391695,0.2275310034363084
4,2019,1.3442264871157412,0.22588768365695086
5,2020,1.327554634900858,0.2242562325893576
6,2021,1.3110895563650677,0.2226365645129521
7,2022,1.2948286869850156,0.22102859432626606
8,2023,1.2787694940440075,0.21943223754246793
9,2024,1.2629094762375237,0.21784741028492385
10,2025,1.2472461632836296,0.2162740292827905
11,2026,1.231777115538215,0.21471201186663977
12,2027,1.2164999236150058,0.2131612759641153
13,2028,1.2014122080102918,0.21162174009562001
14,2029,1.186511618732304,0.21009332337003503
15,2030,1.1717958349351918,0.20857594548046937
16,2031,1.1572625645575392,0.20706952670004064
17,2032,1.1429095439653636,0.20557398787768566
18,2033,1.1287345375995432,0.20408925043400197
19,2034,1.1147353376276163,0.20261523635711892
20,2035,1.1009097635999001,0.20115186819859865
21,2036,1.0872556621098741,0.199699069069367
22,2037,1.073770906458775,0.19825676263567324
23,2038,1.0604533963243534,0.19682487311507968
24,2039,1.047301057433736,0.19540332527247942
25,2040,1.034311841240347,0.19399204441614382
26,2041,1.0214837246048367,0.19259095639379747
27,2042,1.0088147094799669,0.19119998758872248
28,2043,0.9963028225994025,0.18981906491589026
29,2044,0.983946115170368,0.18844811581812146
30,2045,0.9717426625701097,0.18708706826227373
31,2046,0.959690564046127,0.18573585073545668
32,2047,0.9477879424201202,0.18439439224127474
33,2048,0.9360329437956094,0.18306262229609657
34,2049,0.9244237372691807,0.1817404709253519
35,2050,0.9129585146453127,0.18042786865985452
36,2051,0.9016354901547418,0.17912474653215266
37,2052,0.890452900176317,0.1778310360729049
38,2053,0.8794090029623085,0.17654666930728277
39,2054,0.8685020783671209,0.1752715787513992
40,2055,0.8577304275793702,0.17400569740876265
41,2056,0.8470923728572864,0.17274895876675703
42,2057,0.8365862572673952,0.1715012967931469
43,2058,0.8262104444264424,0.1702626459326081
44,2059,0.8159633182465188,0.169032941103283
45,2060,0.8058432826833448,0.1678121176933614
46,2061,0.7958487614876794,0.16660011155768517
47,2062,0.7859781979598102,0.16539685901437826
48,2063,0.7762300547070892,0.16420229684150048
49,2064,0.7666028134044761,0.16301636227372582
50,2065,0.7570949745580506,0.16183899299904445
51,2066,0.7477050572714589,0.16067012715548884
52,2067,0.7384315990152556,0.15950970332788322
53,2068,0.7292731553991075,0.1583576605446168
54,2069,0.720228299946822,0.1572139382744401
55,2070,0.7112956238741656,0.15607847642328454
56,2071,0.7024737358694381,0.15495121533110473
57,2072,0.6937612618767695,0.1538320957687442
58,2073,0.6851568448821023,0.152721058934823
59,2074,0.6766591447018301,0.1516180464526481
60,2075,0.6682668377740566,0.15052300036714647
61,2076,0.6599786169524435,0.14943586314181967
62,2077,0.6517931913026165,0.1483565776557208
63,2078,0.6437092859010941,0.1472850872004533
64,2079,0.6357256416367129,0.14622133547719132
65,2080,0.6278410150145128,0.14516526659372153
66,2081,0.6200541779620579,0.14411682506150655
67,2082,0.6123639176381559,0.14307595579276938
68,2083,0.6047690362439528,0.14204260409759895
69,2084,0.5972683508363692,0.1410167156810765
70,2085,0.58986069314385,0.13999823664042294
71,2086,0.5825449093844008,0.13898711346216658
72,2087,0.5753198600858795,0.1379832930193313
73,2088,0.5681844199085182,0.1369867225686453
74,2089,0.5611374774696445,0.13599734974776978
75,2090,0.554177935170579,0.13501512257254764
76,2091,0.5473047090256775,0.134039989434272
77,2092,0.540516728493495,0.13307189909697484
78,2093,0.533812936310043,0.13211080069473471
79,2094,0.527192288324115,0.13115664372900415
80,2095,0.5206537533346546,0.13020937806595637
81,2096,0.5141963129301402,0.1292689539338511
82,2097,0.5078189613299623,0.1283353219204195
83,2098,0.5015207052277674,0.12740843297026777
84,2099,0.4953005636367459,0.12648823838229992
85,2100,0.4891575677368376,0.12557468980715855
