Scenario,Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP4,Albania,38.6186,40.6603,42.702,44.743700000000004,46.7854,48.8271,50.654740000000004,52.48238,54.31002,56.13766,57.9653,59.79618,61.62706,63.457939999999994,65.28882,67.1197,68.83912,70.55854,72.27796000000001,73.99738,75.7168,77.20876,78.70072,80.19268,81.68464,83.1766,84.30798,85.43936,86.57074,87.70212,88.8335,89.67736000000001,90.52122,91.36508,92.20894,93.0528,93.72448,94.39616,95.06784,95.73952,96.4112,97.0435,97.6758,98.3081,98.9404,99.5727,100.17576,100.77882,101.38188,101.98494,102.588,103.02,103.452,103.884,104.316,104.748,105.0008,105.2536,105.5064,105.7592,106.012,106.1052,106.19839999999999,106.2916,106.3848,106.478,106.4538,106.4296,106.4054,106.38119999999999,106.357,106.2636,106.1702,106.0768,105.9834,105.89,105.789,105.688,105.587,105.486,105.385
SSP4,Algeria,463.722,479.6352,495.5484,511.4616,527.3748,543.288,554.1804,565.0728,575.9652,586.8576,597.75,611.9202,626.0904,640.2606,654.4308,668.601,681.2512,693.9014,706.5516,719.2017999999999,731.852,744.2712,756.6904,769.1096,781.5287999999999,793.948,808.7482,823.5484,838.3485999999999,853.1487999999999,867.949,886.3412,904.7334,923.1256,941.5178,959.91,982.0999999999999,1004.29,1026.48,1048.6699999999998,1070.86,1097.0819999999999,1123.3039999999999,1149.526,1175.748,1201.97,1231.22,1260.47,1289.72,1318.97,1348.22,1381.012,1413.804,1446.596,1479.3880000000001,1512.18,1549.124,1586.068,1623.0120000000002,1659.9560000000001,1696.9,1739.3300000000002,1781.76,1824.19,1866.62,1909.05,1958.25,2007.45,2056.65,2105.8500000000004,2155.05,2211.57,2268.09,2324.61,2381.13,2437.65,2501.3920000000003,2565.134,2628.876,2692.618,2756.36
SSP4,Angola,201.395,206.5234,211.6518,216.7802,221.9086,227.037,236.2174,245.39780000000002,254.5782,263.7586,272.939,285.1512,297.3634,309.5756,321.7878,334.0,348.0456,362.0912,376.1368,390.18240000000003,404.228,421.4258,438.6236,455.8214,473.01919999999996,490.217,512.0554,533.8937999999999,555.7322,577.5706,599.409,627.031,654.653,682.275,709.897,737.519,771.3094,805.0998,838.8902,872.6806,906.471,947.0268,987.5826,1028.1384,1068.6942,1109.25,1156.802,1204.354,1251.906,1299.458,1347.01,1402.3319999999999,1457.654,1512.9759999999999,1568.298,1623.62,1686.7839999999999,1749.9479999999999,1813.112,1876.276,1939.44,2010.638,2081.836,2153.034,2224.232,2295.43,2375.0339999999997,2454.638,2534.2419999999997,2613.846,2693.45,2781.0099999999998,2868.5699999999997,2956.13,3043.69,3131.25,3226.266,3321.282,3416.298,3511.314,3606.33
SSP4,Antigua and Barbuda,1.7409400000000002,1.8593520000000001,1.977764,2.0961760000000003,2.214588,2.333,2.4047780000000003,2.476556,2.548334,2.6201119999999998,2.69189,2.779446,2.867002,2.954558,3.0421139999999998,3.12967,3.234998,3.340326,3.4456539999999998,3.550982,3.65631,3.781396,3.906482,4.031568,4.156654,4.28174,4.419676,4.557612,4.6955480000000005,4.833484,4.97142,5.12323,5.275040000000001,5.42685,5.57866,5.73047,5.898932,6.067394,6.235856,6.404318,6.57278,6.759676,6.946572,7.133468,7.320364,7.50726,7.708266,7.909272,8.110278,8.311284,8.51229,8.72831,8.94433,9.16035,9.37637,9.59239,9.822172,10.051954,10.281736,10.511518,10.7413,10.98498,11.22866,11.47234,11.71602,11.9597,12.2178,12.4759,12.734,12.992099999999999,13.2502,13.5214,13.7926,14.063799999999999,14.334999999999999,14.6062,14.88908,15.17196,15.45484,15.737720000000001,16.0206
SSP4,Argentina,750.58,772.8122000000001,795.0444,817.2766,839.5088,861.741,884.5802,907.4194,930.2586,953.0978,975.937,998.9396,1021.9422000000001,1044.9448,1067.9474,1090.95,1118.6380000000001,1146.326,1174.0140000000001,1201.702,1229.39,1263.2440000000001,1297.0980000000002,1330.952,1364.806,1398.66,1438.894,1479.128,1519.362,1559.596,1599.83,1646.542,1693.254,1739.9660000000001,1786.678,1833.39,1885.47,1937.55,1989.63,2041.71,2093.79,2151.532,2209.274,2267.016,2324.758,2382.5,2445.8,2509.1,2572.4,2635.7,2699.0,2767.608,2836.216,2904.824,2973.432,3042.04,3116.16,3190.2799999999997,3264.4,3338.52,3412.64,3493.054,3573.468,3653.882,3734.296,3814.71,3902.16,3989.61,4077.06,4164.51,4251.96,4346.872,4441.784000000001,4536.696,4631.608,4726.52,4829.384,4932.2480000000005,5035.112,5137.976000000001,5240.84
SSP4,Armenia,37.5166,40.50004,43.48348,46.466919999999995,49.450359999999996,52.4338,55.055099999999996,57.6764,60.2977,62.919,65.5403,68.29576,71.05122,73.80668,76.56214,79.3176,81.77632,84.23504,86.69376,89.15248,91.6112,93.62256,95.63392,97.64528,99.65664000000001,101.668,103.24560000000001,104.8232,106.4008,107.9784,109.556,110.8758,112.1956,113.5154,114.8352,116.155,117.4312,118.7074,119.9836,121.2598,122.536,123.87,125.204,126.538,127.87199999999999,129.206,130.39759999999998,131.58919999999998,132.7808,133.9724,135.164,135.9966,136.8292,137.6618,138.49439999999998,139.327,139.9816,140.6362,141.2908,141.9454,142.6,143.1712,143.7424,144.31359999999998,144.88479999999998,145.456,146.04479999999998,146.6336,147.2224,147.8112,148.4,149.0482,149.6964,150.34459999999999,150.9928,151.641,152.3246,153.0082,153.6918,154.37539999999998,155.059
SSP4,Aruba,3.11606,3.413322,3.7105840000000003,4.007846000000001,4.305108000000001,4.6023700000000005,4.65991,4.71745,4.77499,4.83253,4.89007,4.970622,5.051174,5.1317260000000005,5.212278,5.29283,5.387944,5.483058,5.578172,5.673286,5.7684,5.878708,5.9890159999999995,6.099324,6.209632,6.31994,6.445932,6.571924,6.697916,6.823908,6.9499,7.096836000000001,7.243772000000001,7.390708,7.537644,7.68458,7.856584,8.028588,8.200592,8.372596,8.544599999999999,8.737167999999999,8.929736,9.122304,9.314872000000001,9.50744,9.714052,9.920664,10.127276,10.333888,10.5405,10.76318,10.98586,11.20854,11.43122,11.6539,11.89438,12.13486,12.37534,12.61582,12.8563,13.11552,13.37474,13.63396,13.89318,14.1524,14.42984,14.70728,14.98472,15.26216,15.5396,15.83346,16.12732,16.42118,16.715040000000002,17.0089,17.3179,17.6269,17.9359,18.244899999999998,18.5539
SSP4,Australia,1202.79,1238.908,1275.026,1311.144,1347.2620000000002,1383.38,1422.6960000000001,1462.0120000000002,1501.328,1540.644,1579.96,1627.1480000000001,1674.336,1721.5240000000001,1768.712,1815.9,1869.708,1923.516,1977.324,2031.132,2084.94,2142.48,2200.02,2257.56,2315.1,2372.64,2427.24,2481.8399999999997,2536.44,2591.04,2645.64,2695.738,2745.836,2795.934,2846.032,2896.13,2944.216,2992.302,3040.388,3088.474,3136.56,3182.756,3228.9519999999998,3275.148,3321.344,3367.54,3410.354,3453.168,3495.982,3538.7960000000003,3581.61,3619.736,3657.862,3695.988,3734.114,3772.24,3804.85,3837.46,3870.0699999999997,3902.68,3935.29,3961.576,3987.862,4014.1479999999997,4040.4339999999997,4066.72,4086.42,4106.12,4125.82,4145.52,4165.22,4178.518,4191.816,4205.1140000000005,4218.412,4231.71,4238.748,4245.786,4252.824,4259.862,4266.9
SSP4,Austria,435.834,445.6748,455.5156,465.3564,475.1972,485.038,494.88800000000003,504.738,514.588,524.438,534.288,542.342,550.396,558.45,566.504,574.558,582.4946,590.4312,598.3678,606.3044,614.241,621.4816,628.7221999999999,635.9628,643.2034,650.444,656.2343999999999,662.0247999999999,667.8152,673.6056,679.396,684.1966,688.9972,693.7977999999999,698.5984,703.399,707.8672,712.3354,716.8036,721.2718,725.74,730.0294,734.3188,738.6082,742.8976,747.187,751.0106,754.8342,758.6578,762.4814,766.305,769.4264,772.5477999999999,775.6692,778.7906,781.912,783.9884000000001,786.0648,788.1412,790.2176,792.294,793.1813999999999,794.0688,794.9562,795.8436,796.731,796.4836,796.2362,795.9888,795.7414,795.494,794.2736,793.0532000000001,791.8328,790.6124000000001,789.392,787.307,785.222,783.1370000000001,781.052,778.967
SSP4,Azerbaijan,138.624,143.8958,149.1676,154.4394,159.7112,164.983,169.3512,173.7194,178.0876,182.4558,186.824,191.102,195.38,199.65800000000002,203.936,208.214,212.4702,216.7264,220.9826,225.2388,229.495,234.3252,239.1554,243.9856,248.8158,253.646,259.0892,264.5324,269.9756,275.41880000000003,280.862,286.6292,292.3964,298.1636,303.9308,309.698,315.83279999999996,321.9676,328.1024,334.23720000000003,340.372,346.708,353.04400000000004,359.38,365.716,372.052,378.3192,384.5864,390.8536,397.1208,403.388,409.37719999999996,415.3664,421.3556,427.3448,433.334,438.9896,444.6452,450.30080000000004,455.95640000000003,461.612,467.03380000000004,472.4556,477.8774,483.2992,488.721,493.91859999999997,499.1162,504.31379999999996,509.5114,514.709,519.4906,524.2722,529.0537999999999,533.8353999999999,538.617,542.7528,546.8886,551.0244,555.1602,559.296
