,Continent,Year,energy_intensity,carbon_intensity
9,Africa,2009,1.0278955046597262,0.2781816514565898
10,Africa,2010,0.9872331281587693,0.2878606848924808
11,Africa,2011,0.9852189689620718,0.27283513257153175
12,Africa,2012,0.9657403577788097,0.2622755688525236
13,Africa,2013,0.9750300759757422,0.24832882409517715
14,Africa,2014,0.9689489379091202,0.25087339982865964
15,Africa,2015,0.9403667323116679,0.24749091693138323
16,Africa,2016,0.9499039190747351,0.2485502927540689
17,Africa,2017,0.9350349414594337,0.24839942154189665
18,Africa,2018,0.9188402953178243,0.24000325490566768
19,Africa,2019,0.9172074060234251,0.2506979126644654
20,Africa,2020,0.8927170690382517,0.2442604821198674
21,Africa,2021,0.8828046024197891,0.24972085897921112
22,Africa,2022,0.8058100581058758,0.24259801504072825
23,Africa,2023,0.7859439720356433,0.24099754190263545
24,Africa,2024,0.7665676556968504,0.2394076274423015
25,Africa,2025,0.7476690345223688,0.23782820200177757
26,Africa,2026,0.7292363316261217,0.23625919638266377
27,Africa,2027,0.7112580604642076,0.23470054184307748
28,Africa,2028,0.6937230176769009,0.23315217009464165
29,Africa,2029,0.6766202761071748,0.2316140132994928
30,Africa,2030,0.6599391779913165,0.23008600406730895
31,Africa,2031,0.643669328317423,0.22856807545235708
32,Africa,2032,0.6278005883476295,0.22706016095056014
33,Africa,2033,0.6123230693000602,0.22556219449658318
34,Africa,2034,0.5972271261864963,0.2240741104609391
35,Africa,2035,0.5825033518020126,0.2225958436471131
36,Africa,2036,0.568142570862769,0.22112732928870624
37,Africa,2037,0.5541358342883292,0.21966850304659802
38,Africa,2038,0.540474413624943,0.2182193010061274
39,Africa,2039,0.5271497956063084,0.21677965967429266
40,Africa,2040,0.5141536768484504,0.2153495159769695
41,Africa,2041,0.5014779586753523,0.21392880725614769
42,Africa,2042,0.48911474207219086,0.21251747126718576
43,Africa,2043,0.47705632276297316,0.2111154461760842
44,Africa,2044,0.4652951864095316,0.20972267055677593
45,Africa,2045,0.4538240039288772,0.20833908338843551
46,Africa,2046,0.44263562692601277,0.20696462405280536
47,Africa,2047,0.4317230832393117,0.2055992323315401
48,Africa,2048,0.4210795725957508,0.20424284840356818
49,Africa,2049,0.41069846237324126,0.20289541284247098
50,Africa,2050,0.4005732834674364,0.20155686661387914
51,Africa,2051,0.3906977262604374,0.20022715107288633
52,Africa,2052,0.3810656366888819,0.19890620796147954
53,Africa,2053,0.37167101240898165,0.197593979405987
54,Africa,2054,0.3625079990560791,0.1962904079145424
55,Africa,2055,0.35357088659644587,0.19499543637456598
56,Africa,2056,0.34485410576900855,0.1937090080502626
57,Africa,2057,0.3363522246148023,0.19243106658013553
58,Africa,2058,0.32805994509198233,0.19116155597451762
59,Africa,2059,0.3199720997742998,0.1899004206131179
60,Africa,2060,0.3120836486309485,0.1886476052425849
61,Africa,2061,0.304389675885823,0.18740305497408577
62,Africa,2062,0.2968853869541956,0.18616671528090153
63,Africa,2063,0.28956610545491773,0.18493853199603816
64,Africa,2064,0.2824272702962809,0.18371845130985331
65,Africa,2065,0.2754644328337196,0.1825064197676988
66,Africa,2066,0.26867325409759685,0.18130238426757875
67,Africa,2067,0.2620495020893152,0.18010629205782294
68,Africa,2068,0.25558904914410774,0.17891809073477563
69,Africa,2069,0.24928786935883557,0.1777377282404997
70,Africa,2070,0.24314203608320176,0.17656515286049584
71,Africa,2071,0.23714771947281368,0.17540031322143684
72,Africa,2072,0.23130118410257972,0.17424315828891668
73,Africa,2073,0.22559878663892732,0.1730936373652148
74,Africa,2074,0.2200369735694259,0.17195170008707467
75,Africa,2075,0.21461227898837446,0.17081729642349747
76,Africa,2076,0.20932132243698376,0.16969037667355003
77,Africa,2077,0.20416080679680443,0.16857089146418722
78,Africa,2078,0.19912751623509672,0.16745879174808898
79,Africa,2079,0.1942183142008398,0.1663540288015113
80,Africa,2080,0.18943014147016088,0.16525655422215152
81,Africa,2081,0.18476001423994445,0.16416631992702785
82,Africa,2082,0.18020502226844207,0.16308327815037255
83,Africa,2083,0.17576232706172293,0.1620073814415393
84,Africa,2084,0.17142916010483353,0.16093858266292438
85,Africa,2085,0.16720282113657156,0.15987683498790117
86,Africa,2086,0.1630806764667809,0.1588220918987688
87,Africa,2087,0.15906015733514314,0.1577743071847141
88,Africa,2088,0.1551387583104247,0.15673343493978684
89,Africa,2089,0.15131403572918964,0.1556994295608886
90,Africa,2090,0.1475836061730023,0.1546722457457748
91,Africa,2091,0.14394514498317817,0.15365183849106948
92,Africa,2092,0.14039638481214023,0.15263816309029488
93,Africa,2093,0.1369351142105005,0.151631175131911
94,Africa,2094,0.13355917624896974,0.1506308304973709
95,Africa,2095,0.1302664671742429,0.14963708535918752
96,Africa,2096,0.12705493509802088,0.14864989617901359
97,Africa,2097,0.1239225787183572,0.14766921970573388
98,Africa,2098,0.12086744607251898,0.1466950129735705
99,Africa,2099,0.11788763332060324,0.1457272333002003
100,Africa,2100,0.11498128355913699,0.14476583828488493
101,Asia,2000,1.6987440167237742,0.2505512262013073
102,Asia,2001,1.692902428577842,0.2486591639566131
103,Asia,2002,1.6926010408364014,0.24939159915753828
104,Asia,2003,1.727254950130691,0.25159188326133425
105,Asia,2004,1.770965221875303,0.24331636210691165
106,Asia,2005,1.7824561206679899,0.2423382941830346
107,Asia,2006,1.7518640088603221,0.24421358435894167
108,Asia,2007,1.7327078180163784,0.2433638124235621
109,Asia,2008,1.7163146246929346,0.24579276550014595
110,Asia,2009,1.693658940045561,0.25038520746329507
111,Asia,2010,1.663279843215162,0.25280360978806876
112,Asia,2011,1.6531629187718009,0.25807493814171417
113,Asia,2012,1.6233698194680268,0.2601191229621101
114,Asia,2013,1.5813860234406185,0.25733570542373596
115,Asia,2014,1.5418522396364447,0.2551895927816737
116,Asia,2015,1.4924617996299032,0.2543515626522716
117,Asia,2016,1.4358447312555704,0.2552976771480366
118,Asia,2017,1.4161562661335851,0.25156372962366336
119,Asia,2018,1.3967635679526722,0.25010489111912215
120,Asia,2019,1.383682606876066,0.24898712632458134
121,Asia,2020,1.395932628641634,0.24762761326151206
122,Asia,2021,1.3750042265212314,0.24719601654724527
123,Asia,2022,1.375051336578608,0.24596003646450904
124,Asia,2023,1.357459781254206,0.24473023628218651
125,Asia,2024,1.3400932813953703,0.24350658510077558
126,Asia,2025,1.3229489577818365,0.24228905217527166
127,Asia,2026,1.3060239680283003,0.2410776069143953
128,Asia,2027,1.2893155061131758,0.23987221887982335
129,Asia,2028,1.272820801913379,0.23867285778542421
130,Asia,2029,1.256537120745066,0.2374794934964971
131,Asia,2030,1.240461762910244,0.2362920960290146
132,Asia,2031,1.2245920632491845,0.23511063554886955
133,Asia,2032,1.2089253906985629,0.23393508237112517
134,Asia,2033,1.1934591478552492,0.23276540695926956
135,Asia,2034,1.1781907705456802,0.23160157992447322
136,Asia,2035,1.1631177274007423,0.23044357202485086
137,Asia,2036,1.1482375194360857,0.2292913541647266
138,Asia,2037,1.1335476796378323,0.22814489739390295
139,Asia,2038,1.119045772553539,0.22700417290693345
140,Asia,2039,1.1047293938884373,0.22586915204239877
141,Asia,2040,1.090596170106817,0.22473980628218676
142,Asia,2041,1.0766437580385144,0.22361610725077585
143,Asia,2042,1.0628698444904336,0.22249802671452198
144,Asia,2043,1.0492721458630392,0.22138553658094937
145,Asia,2044,1.0358484077717534,0.2202786088980446
146,Asia,2045,1.0225964046731995,0.2191772158535544
147,Asia,2046,1.009513939496224,0.2180813297742866
148,Asia,2047,0.9965988432776419,0.21699092312541518
149,Asia,2048,0.9838489748026394,0.2159059685097881
150,Asia,2049,0.9712622202497796,0.21482643866723916
151,Asia,2050,0.9588364928405478,0.21375230647390295
152,Asia,2051,0.9465697324933819,0.21268354494153346
153,Asia,2052,0.9344599054821271,0.2116201272168258
154,Asia,2053,0.9225050040988619,0.21056202658074166
155,Asia,2054,0.9107030463210367,0.20950921644783796
156,Asia,2055,0.8990520754828712,0.20846167036559876
157,Asia,2056,0.8875501599509552,0.20741936201377073
158,Asia,2057,0.8761953928040005,0.2063822652037019
159,Asia,2058,0.8649858915166887,0.20535035387768338
160,Asia,2059,0.8539197976475649,0.20432360210829495
161,Asia,2060,0.8429952765309233,0.2033019840977535
162,Asia,2061,0.832210516972632,0.20228547417726472
163,Asia,2062,0.8215637309498643,0.20127404680637842
164,Asia,2063,0.8110531533146413,0.2002676765723465
165,Asia,2064,0.8006770415011973,0.19926633818948478
166,Asia,2065,0.7904336752370742,0.19827000649853735
167,Asia,2066,0.7803213562579141,0.19727865646604464
168,Asia,2067,0.7703384080259019,0.19629226318371443
169,Asia,2068,0.760483175451809,0.19531080186779587
170,Asia,2069,0.7507540246205938,0.1943342478584569
171,Asia,2070,0.7411493425205117,0.1933625766191646
